"ice river run cold city light shine silver gold dug night eye black coal walk walk walk 'til run look back carnival wheel fly color spin alcohol red wine puncture skin face face dry water le place walk walk sad besiege love head stay time stay tonight lie asking think know come take away come take away come take home home mountain crumble disappear sea tear stay time stay tonight ever love time save love save push far push far tonight tonight tonight","happy"
"yeah quiet new year day world white get underway want night day nothing change new year day new year day blood red sky crowd gathered black white arm entwined chosen newspaper say say say true true break though torn two one begin begin ah maybe time right maybe tonight told golden age gold reason war wage though want night day nothing change new year day new year day new year day","happy"
"yeah quiet new year day world white get underway want night day nothing change new year day new year day blood red sky crowd gathered black white arm entwined chosen newspaper say say say true true break though torn two one begin begin ah maybe time right maybe tonight told golden age gold reason war wage though want night day nothing change new year day new year day new year day","happy"
"yeah quiet new year day world white get underway want night day nothing change new year day new year day blood red sky crowd gathered black white arm entwined chosen newspaper say say say true true break though torn two one begin begin ah maybe time right maybe tonight told golden age gold reason war wage though want night day nothing change new year day new year day new year day","happy"
"yeah quiet new year day world white get underway want night day nothing change new year day new year day blood red sky crowd gathered black white arm entwined chosen newspaper say say say true true break though torn two one begin begin ah maybe time right maybe tonight told golden age gold reason war wage though want night day nothing change new year day new year day new year day","happy"
"long barbed wire deflected defense could never stand legion last hook hurled shielding wall reduced nothing slaughter begin time evacuate much saved left keep could never hide something fused soul heart hunt end earth last bullet used take runner last bit strength conserved absorb mortar fire hell brand glimmered moonlight steady chokehold heart chrous want give detail find change way look make u stronger found passage nightmareland way burn restless fire hell least lifetime explore together time evacuate much saved left keep could never hide something fused soul heart hunt end earth chorus want give detail find change way look make u stronger stole something would always give hunter nothing without prey took something would refuse nothing without time evacuate much saved left keep could never hide something fused soul heart hunt end earth chorus want give detail find change way look make u stronger stole something would always give hunter nothing without prey took something would refuse nothing without leaving nightmareland pursue dream leaving nightmareland pursue dream","happy"
"long barbed wire deflected defense could never stand legion last hook hurled shielding wall reduced nothing slaughter begin time evacuate much saved left keep could never hide something fused soul heart hunt end earth last bullet used take runner last bit strength conserved absorb mortar fire hell brand glimmered moonlight steady chokehold heart chrous want give detail find change way look make u stronger found passage nightmareland way burn restless fire hell least lifetime explore together time evacuate much saved left keep could never hide something fused soul heart hunt end earth chorus want give detail find change way look make u stronger stole something would always give hunter nothing without prey took something would refuse nothing without time evacuate much saved left keep could never hide something fused soul heart hunt end earth chorus want give detail find change way look make u stronger stole something would always give hunter nothing without prey took something would refuse nothing without leaving nightmareland pursue dream leaving nightmareland pursue dream","happy"
"consumed self loving pain self loathing bliss ear away burn like cancer feeling inside mask size fall heart soul break year frustration plain see ease war invade foul finger lie purify crushing say born blackened heart fell curse bastard life cursed bastard life lust celebrate name cause fall ca change year frustration yearned see pedestal crumble ignored actor aggression falsify slave avoiding true stand fall heartless soulless appetite crossing almost every line time wash away lost way crossed line crossed line","death"
"save grace save grace going soon going soon surface nothing concentrate phrase concentrate beyond world live say ignore disclaimer concentrate collect belonging follow reverse concentrate save grace save grace inventing inventing save grace save grace going soon coming","death"
"knew hid behind door never noticed hallway turned black stairway chance fall break hand might push never turn around never chance never chance coming back never chance never chance coming back watch fading fast might lose chance find accident reason back scared cause might return mistook someone one look gone never chance never chance coming back never chance never chance coming back look ghost came door thousand year look ghost came door thousand year look ghost came door thousand year never chance never chance coming back never chance never chance coming back x2","breakup"
"yes certain curtain need pulling cause hurting make think uncertain friend even try pretend alone really matter hating conspiring trying defend never said hate make intention make life worse never work matter matter nothing really matter several different matter entirely different matter entirely different","sex"
"yes certain curtain need pulling cause hurting make think uncertain friend even try pretend alone really matter hating conspiring trying defend never said hate make intention make life worse never work matter matter nothing really matter several different matter entirely different matter entirely different","sex"
"burned tomorrow stand inside today edge future dream fade away burn shadow away faced destroyer ambushed lie judged falling wounded heart arise burn shadow away","happy"
"day young boy next door passed away make want say want waste another day start mixing gene pool eastern western people get naughty multilingual sort like soul searching body jaw-dropping chemistry groundbreaking keep waiting hurry baby hurry baby let give love hurry let turn room melting pot giddy baby giddy baby let give love buckle boy know gon like got maybe worth wait maybe walk away want waste energy stop acting like fool move people funny like settle sort like soul searching body jaw-dropping say rule breaking time changing hurry baby hurry baby let give love hurry let turn room melting pot giddy baby giddy baby let give love buckle boy know gon like got let know feeling mutual know feeling hot hot hot hurry baby hurry baby let give love hurry let turn room melting pot giddy baby giddy baby let give love buckle boy know gon like got hurry baby hurry baby let give love hurry let turn room melting pot giddy baby giddy baby let give love buckle boy know gon like got","happy"
"sitting along west side think way could fuck right wrap head around could trouble need lift finger jump hole dig hole dig live inside space life crazy world small think take shit look mirror see see jump hole dig jump hole tell philosophy new reality gone hell back suffered enough tell religion price pay freedom gone hell back ship always sinking like way know love got think say time stop pretending thing come go way like living beginning one blame one jump hole dig jump hole dig tell philosophy new reality gone hell back suffered enough tell religion price pay freedom gone hell back ship always sinking scream mountaintops throw u action speak louder word enough drag u world jump hole dig jump hole dig tell philosophy new reality gone hell back suffered enough tell religion price pay freedom gone hell back ship always sinking","sex"
"smoke pulled ribbon window car followed flash silver teeth tarmac light icy-green buried pattern chest quiet shimmering little dipper tiara-shine song bird shivery thin thin dime chorus smoke like ribbon song pulled ribbon window car lost along shoulder highway cake walk dancer unwind spin singing lawty lawty loved stark give flat fuck chorus","happy"
"wise men say fool rush ca help falling love shall stay would sin ca help falling love shall stay would sin ca help falling love like river flow surely sea darling go thing meant take hand take whole life ca help falling love","happy"
"got question please ask put lotion basket say bigger better bigger bigger white boy dressed like figure drawn inside toilet wall world round square fit say ca instruct others act like victim jilted lover ca lose never disappear man magic want reason ai never sound like scared say passion slag bitter fashion fear failure started jury verdict retarded tired wired mess guess turning screw","happy"
"got question please ask put lotion basket say bigger better bigger bigger white boy dressed like figure drawn inside toilet wall world round square fit say ca instruct others act like victim jilted lover ca lose never disappear man magic want reason ai never sound like scared say passion slag bitter fashion fear failure started jury verdict retarded tired wired mess guess turning screw","happy"
"moment said kissed yet knew wipe paint lip stare lid eye gone dirty mind end hip handful sweat tangled hair anytime anywhere want lick much baby play alone whispering moan forced crawl line touch get ca get sweating sheet hate see leave love watch go baby twisted secret life way bat eye givin head givin head givin head watch come needy love desperate greddy slavery sneak around behind got one track mind got skin skin thing baby want lick much hear comin ooh aaaah baby","sex"
"young dumb see problem bloodshot stare like hoodlum simple love risk know done tell miss please save something waste save nothing lose halo need resist lick lip grip hip sick sick sick resist sick sick sick resist first thing succumb shout erase undo day unreleased release please let whatever fit make something make someone beg knee baby baby please pout bottom lip cracking whip know want candy cum sick sick sick resist sick sick sick resist sick sick sick resist sick sick sick resist total eclipse teeth risk tongue twist perpetual bliss forever midnight forever midnight forever midnight forever sick sick sick resist sick sick sick resist sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change","sex"
"young dumb see problem bloodshot stare like hoodlum simple love risk know done tell miss please save something waste save nothing lose halo need resist lick lip grip hip sick sick sick resist sick sick sick resist first thing succumb shout erase undo day unreleased release please let whatever fit make something make someone beg knee baby baby please pout bottom lip cracking whip know want candy cum sick sick sick resist sick sick sick resist sick sick sick resist sick sick sick resist total eclipse teeth risk tongue twist perpetual bliss forever midnight forever midnight forever midnight forever sick sick sick resist sick sick sick resist sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change","sex"
"young dumb see problem bloodshot stare like hoodlum simple love risk know done tell miss please save something waste save nothing lose halo need resist lick lip grip hip sick sick sick resist sick sick sick resist first thing succumb shout erase undo day unreleased release please let whatever fit make something make someone beg knee baby baby please pout bottom lip cracking whip know want candy cum sick sick sick resist sick sick sick resist sick sick sick resist sick sick sick resist total eclipse teeth risk tongue twist perpetual bliss forever midnight forever midnight forever midnight forever sick sick sick resist sick sick sick resist sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change sick sick sick gon take resist wan choose sick sick sick gon take resist wan change","sex"
"get rule follow one know get pill swallow stick throat taste like gold one know realize mine indeed fool realize mine indeed fool ah journey desert mind hope found low drift along ocean dead lifeboat sun come undone pleasantly caving come undone realize mine indeed fool realize mine indeed fool ah heaven smile gift one know gift give one know","sad"
"wan know know ca say understand one becomes two ca recall started begin ai break ya see far bend wan make wan make wit chu anytime anywhere wan make wan make wit chu sometimes different mostly mystery life ai thing told knew sun moon untrue thing know sure wo anytime anywhere said wan make wan make wit chu anytime anywhere wan make wan make wit chu wan make anytime anywhere wan make wit chu yeah wan make wan make wit chu wan make wan make wit chu wan make anytime anywhere wan make wit chu wan make wan make wit chu wan make","love"
"wan know know ca say understand one becomes two ca recall started begin ai break ya see far bend wan make wan make wit chu anytime anywhere wan make wan make wit chu sometimes different mostly mystery life ai thing told knew sun moon untrue thing know sure wo anytime anywhere said wan make wan make wit chu anytime anywhere wan make wan make wit chu wan make anytime anywhere wan make wit chu yeah wan make wan make wit chu wan make wan make wit chu wan make anytime anywhere wan make wit chu wan make wan make wit chu wan make","love"
"wan know know ca say understand one becomes two ca recall started begin ai break ya see far bend wan make wan make wit chu anytime anywhere wan make wan make wit chu sometimes different mostly mystery life ai thing told knew sun moon untrue thing know sure wo anytime anywhere said wan make wan make wit chu anytime anywhere wan make wan make wit chu wan make anytime anywhere wan make wit chu yeah wan make wan make wit chu wan make wan make wit chu wan make anytime anywhere wan make wit chu wan make wan make wit chu wan make","sex"
"hey sister alone standing window hey little sister come inside want show love want one know like nobody ever baby little sister ca find another way living life behind shadow whisper secret ear slowly dancing cheek cheek sweet thing open baby say wrong come together 'cause understand really yeah baby little sister ca find another way living life behind shadow shake","love"
"hey sister alone standing window hey little sister come inside want show love want one know like nobody ever baby little sister ca find another way living life behind shadow whisper secret ear slowly dancing cheek cheek sweet thing open baby say wrong come together 'cause understand really yeah baby little sister ca find another way living life behind shadow shake","love"
"head case smile ca stop make mind education lame lame bitch moan loose girl guy hey truth freak lie situation strange tv show click hotel phone gon leave known known thinkin sad want go want follow law man yes sir bloody apron leg lamb hard win much lose infiltrate wall caving ai bad thing ai reality infiltrate wall caving ai bad thing natural second avenue raising cain sinner ring bell ring bell tell get knew fell","happy"
